ID,City,Date,Season,Venue,Team1,Team2,Toss_winner,Toss_decision,Target,Target_overs,Super_over,Match _Winner,Player_of_match,Umpire,Match_type
335982,Bangalore,18-Apr,2007/08,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,1,223,20,0,Kolkata Knight Riders,BB McCullum,Asad Rauf,League
335983,Chandigarh,19-Apr,2007/08,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,0,241,20,0,Chennai Super Kings,MEK Hussey,MR Benson,League
335984,Delhi,19-Apr,2007/08,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,0,130,20,0,Delhi Daredevils,MF Maharoof,Aleem Dar,League
335985,Mumbai,20-Apr,2007/08,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,0,166,20,0,Royal Challengers Bangalore,MV Boucher,SJ Davis,League
335986,Kolkata,20-Apr,2007/08,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,0,111,20,0,Kolkata Knight Riders,DJ Hussey,BF Bowden,League
335987,Jaipur,21-Apr,2007/08,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,0,167,20,0,Rajasthan Royals,SR Watson,Aleem Dar,League
335988,Hyderabad,22-Apr,2007/08,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils,Deccan Chargers,0,143,20,0,Delhi Daredevils,V Sehwag,IL Howell,League
335989,Chennai,23-Apr,2007/08,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Mumbai Indians,1,209,20,0,Chennai Super Kings,ML Hayden,DJ Harper,League
335990,Hyderabad,24-Apr,2007/08,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,1,215,20,0,Rajasthan Royals,YK Pathan,Asad Rauf,League
335991,Chandigarh,25-Apr,2007/08,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Mumbai Indians,1,183,20,0,Kings XI Punjab,KC Sangakkara,Aleem Dar,League
335992,Bangalore,26-Apr,2007/08,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,1,136,20,0,Rajasthan Royals,SR Watson,MR Benson,League
335993,Chennai,26-Apr,2007/08,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,0,148,20,0,Chennai Super Kings,JDP Oram,BF Bowden,League
335994,Mumbai,27-Apr,2007/08,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,Deccan Chargers,1,155,20,0,Deccan Chargers,AC Gilchrist,Asad Rauf,League
335995,Chandigarh,27-Apr,2007/08,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,0,159,20,0,Kings XI Punjab,SM Katich,RE Koertzen,League
335996,Bangalore,28-Apr,2007/08,M Chinnaswamy Stadium,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,0,179,20,0,Chennai Super Kings,MS Dhoni,BR Doctrove,League
335997,Kolkata,29-Apr,2007/08,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,0,138,20,0,Mumbai Indians,ST Jayasuriya,BF Bowden,League
335998,Delhi,30-Apr,2007/08,Feroz Shah Kotla,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,1,192,20,0,Delhi Daredevils,GD McGrath,Aleem Dar,League
335999,Hyderabad,01-May,2007/08,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,1,165,20,0,Kings XI Punjab,SE Marsh,BR Doctrove,League
336000,Jaipur,01-May,2007/08,Sawai Mansingh Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,0,197,20,0,Rajasthan Royals,SA Asnodkar,RE Koertzen,League
336001,Chennai,02-May,2007/08,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,0,170,20,0,Delhi Daredevils,V Sehwag,BF Bowden,League
336003,Chandigarh,03-May,2007/08,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,0,179,20,0,Kings XI Punjab,IK Pathan,DJ Harper,League
336034,Bangalore,03-May,2007/08,M Chinnaswamy Stadium,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,1,157,20,0,Royal Challengers Bangalore,P Kumar,BR Doctrove,League
336004,Mumbai,04-May,2007/08,Dr DY Patil Sports Academy,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,1,163,20,0,Mumbai Indians,SM Pollock,IL Howell,League
336005,Jaipur,04-May,2007/08,Sawai Mansingh Stadium,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,0,110,20,0,Rajasthan Royals,Sohail Tanvir,Asad Rauf,League
336006,Bangalore,05-May,2007/08,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,1,127,20,0,Kings XI Punjab,S Sreesanth,SJ Davis,League
336007,Chennai,06-May,2007/08,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Deccan Chargers,Deccan Chargers,1,145,20,0,Deccan Chargers,AC Gilchrist,MR Benson,League
336008,Mumbai,07-May,2007/08,Dr DY Patil Sports Academy,Mumbai Indians,Rajasthan Royals,Mumbai Indians,1,104,20,0,Mumbai Indians,A Nehra,DJ Harper,League
336009,Delhi,08-May,2007/08,Feroz Shah Kotla,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,1,188,20,0,Chennai Super Kings,MS Dhoni,Aleem Dar,League
336010,Kolkata,08-May,2007/08,Eden Gardens,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,0,130,16,0,Kolkata Knight Riders,SC Ganguly,Asad Rauf,League
336011,Jaipur,09-May,2007/08,Sawai Mansingh Stadium,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,1,141,20,0,Rajasthan Royals,YK Pathan,MR Benson,League
336013,Chennai,10-May,2007/08,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,1,182,20,0,Chennai Super Kings,L Balaji,AV Jayaprakash,League
336014,Hyderabad,11-May,2007/08,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,0,205,20,0,Kolkata Knight Riders,SC Ganguly,IL Howell,League
336015,Jaipur,11-May,2007/08,Sawai Mansingh Stadium,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,1,157,20,0,Rajasthan Royals,SR Watson,SJ Davis,League
336016,Chandigarh,12-May,2007/08,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,0,144,20,0,Kings XI Punjab,SE Marsh,BR Doctrove,League
336017,Kolkata,13-May,2007/08,Eden Gardens,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,0,134,20,0,Kolkata Knight Riders,Shoaib Akhtar,Asad Rauf,League
336018,Mumbai,14-May,2007/08,Wankhede Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,1,157,20,0,Mumbai Indians,ST Jayasuriya,BR Doctrove,League
336020,Delhi,15-May,2007/08,Feroz Shah Kotla,Delhi Daredevils,Deccan Chargers,Deccan Chargers,1,195,20,0,Delhi Daredevils,A Mishra,BG Jerling,League
336021,Mumbai,16-May,2007/08,Wankhede Stadium,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,1,68,20,0,Mumbai Indians,SM Pollock,BR Doctrove,League
336022,Delhi,17-May,2007/08,Feroz Shah Kotla,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,0,89,8,0,Kings XI Punjab,DPMD Jayawardene,AV Jayaprakash,League
336023,Jaipur,17-May,2007/08,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,1,198,20,0,Rajasthan Royals,GC Smith,BF Bowden,League
336024,Hyderabad,18-May,2007/08,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Mumbai Indians,Deccan Chargers,1,179,20,0,Mumbai Indians,DJ Bravo,BR Doctrove,League
336025,Kolkata,18-May,2007/08,Eden Gardens,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,0,53,8,0,Chennai Super Kings,M Ntini,Asad Rauf,League
336026,Bangalore,19-May,2007/08,M Chinnaswamy Stadium,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,1,155,20,0,Delhi Daredevils,SP Goswami,SJ Davis,League
336027,Kolkata,20-May,2007/08,Eden Gardens,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,1,148,20,0,Rajasthan Royals,YK Pathan,BG Jerling,League
336028,Mumbai,21-May,2007/08,Wankhede Stadium,Mumbai Indians,Kings XI Punjab,Mumbai Indians,1,190,20,0,Kings XI Punjab,SE Marsh,BF Bowden,League
336029,Chennai,21-May,2007/08,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,0,127,20,0,Royal Challengers Bangalore,A Kumble,DJ Harper,League
